,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference
0,263112443,s:40~l:41~e:263112443~c:263112443,2006-11-07T23:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-07T23:30Z,0,N/A,2133,XFINITY Center,College Park,MD,17950.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2443,s:40~l:41~t:2443,New Orleans,Privateers,UNO,New Orleans Privateers,New Orleans,2b3986,a2a9ae,True,1926,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,27,261,s:40~l:41~t:261,Vermont,Catamounts,UVM,Vermont Catamounts,Vermont,013C24,ffc72c,True,2118,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,1,2007,,,,,
0,263110120,s:40~l:41~e:263110120~c:263110120,2006-11-08T01:30Z,7148,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-08T01:30Z,0,N/A,2133,XFINITY Center,College Park,MD,17950.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,True,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,True,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,16,2007,,,,,
0,263122443,s:40~l:41~e:263122443~c:263122443,2006-11-08T21:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-08T21:00Z,0,N/A,2133,XFINITY Center,College Park,MD,17950.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2443,s:40~l:41~t:2443,New Orleans,Privateers,UNO,New Orleans Privateers,New Orleans,2b3986,a2a9ae,True,1926,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,27,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,True,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,16,2007,,,,,
0,263122117,s:40~l:41~e:263122117~c:263122117,2006-11-08T21:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-08T21:00Z,0,N/A,1987,Breslin Center,East Lansing,MI,14759.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2117,s:40~l:41~t:2117,Central Michigan,Chippewas,CMU,Central Michigan Chippewas,Cent Michigan,6a0032,ffffff,True,2087,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,14,2754,s:40~l:41~t:2754,Youngstown State,Penguins,YSU,Youngstown State Penguins,Youngstown St,E51935,690717,True,2054,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,45,2007,,,,,
0,263120127,s:40~l:41~e:263120127~c:263120127,2006-11-09T00:00Z,14759,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-09T00:00Z,0,N/A,1987,Breslin Center,East Lansing,MI,14759.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,225,s:40~l:41~t:225,Brown,Bears,BRWN,Brown Bears,Brown,411e09,949300,True,2036,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png,12,2007,,,,,
0,263120120,s:40~l:41~e:263120120~c:263120120,2006-11-09T00:05Z,7318,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-09T00:05Z,0,N/A,2133,XFINITY Center,College Park,MD,17950.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,True,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,261,s:40~l:41~t:261,Vermont,Catamounts,UVM,Vermont Catamounts,Vermont,013C24,ffc72c,True,2118,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,1,2007,,,,,
0,263130251,s:40~l:41~e:263130251~c:263130251,2006-11-10T02:30Z,4132,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-10T02:30Z,0,N/A,2195,Frank Erwin Center,Austin,TX,16540.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,True,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,2016,s:40~l:41~t:2016,Alcorn State,Braves,ALCN,Alcorn State Braves,Alcorn State,4b0058,46166a,True,2072,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,26,2007,,,,,
0,263132117,s:40~l:41~e:263132117~c:263132117,2006-11-09T21:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC AT EAST LANSING MI'}]",2006-11-09T21:30Z,0,N/A,1987,Breslin Center,East Lansing,MI,14759.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2117,s:40~l:41~t:2117,Central Michigan,Chippewas,CMU,Central Michigan Chippewas,Cent Michigan,6a0032,ffffff,True,2087,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,14,225,s:40~l:41~t:225,Brown,Bears,BRWN,Brown Bears,Brown,411e09,949300,True,2036,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png,12,2007,,,,,
0,263130179,s:40~l:41~e:263130179~c:263130179,2006-11-10T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC AT AUSTIN TX'}]",2006-11-10T00:00Z,0,N/A,2195,Frank Erwin Center,Austin,TX,16540.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,179,s:40~l:41~t:179,St. Bonaventure,Bonnies,SBU,St. Bonaventure Bonnies,St. Bonaventure,70261D,,True,2042,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,3,2130,s:40~l:41~t:2130,Chicago State,Cougars,CHIC,Chicago State Cougars,Chicago State,006700,,True,1951,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,43,2007,,,,,
0,263130127,s:40~l:41~e:263130127~c:263130127,2006-11-10T00:30Z,14759,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLASSIC'}]",2006-11-10T00:30Z,0,N/A,1987,Breslin Center,East Lansing,MI,14759.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,2754,s:40~l:41~t:2754,Youngstown State,Penguins,YSU,Youngstown State Penguins,Youngstown St,E51935,690717,True,2054,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,45,2007,,,,,
0,263140057,s:40~l:41~e:263140057~c:263140057,2006-11-11T01:00Z,11798,True,False,False,False,[],2006-11-11T01:00Z,0,N/A,360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,2535,s:40~l:41~t:2535,Samford,Bulldogs,SAM,Samford Bulldogs,Samford,005485,bc0023,True,2191,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,24,2007,,,,,
0,263140194,s:40~l:41~e:263140194~c:263140194,2006-11-11T01:00Z,13219,True,False,False,False,"[{'type': 'event', 'headline': 'SPORTSTIME OHIO BCA CLASSIC'}]",2006-11-11T01:00Z,0,N/A,317,Value City Arena,Columbus,OH,19500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,666666,True,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,2678,s:40~l:41~t:2678,VMI,Keydets,VMI,VMI Keydets,VMI,E52D37,eec52b,True,1970,https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png,24,2007,,,,,
0,263140333,s:40~l:41~e:263140333~c:263140333,2006-11-11T01:30Z,9430,True,False,False,False,[],2006-11-11T01:30Z,0,N/A,1925,Coleman Coliseum,Tuscaloosa,AL,15383.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,333,s:40~l:41~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,True,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,2296,s:40~l:41~t:2296,Jackson State,Tigers,JKST,Jackson State Tigers,Jackson State,123297,b5b7ba,True,1945,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,26,2007,,,,,
0,263140245,s:40~l:41~e:263140245~c:263140245,2006-11-11T02:30Z,10722,True,False,False,False,[],2006-11-11T02:30Z,0,N/A,2114,Reed Arena,College Station,TX,12989.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,245,s:40~l:41~t:245,Texas A&M,Aggies,TA&M,Texas A&M Aggies,Texas A&M,5C0025,ffffff,True,2114,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,8,2504,s:40~l:41~t:2504,Prairie View A&M,Panthers,PV,Prairie View A&M Panthers,Prairie View,4d0960,,True,2027,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,26,2007,,,,,
0,263140103,s:40~l:41~e:263140103~c:263140103,2006-11-11T00:00Z,5716,True,False,False,False,[],2006-11-11T00:00Z,0,N/A,135,Silvio O. Conte Forum,Chestnut Hill,MA,8606.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,103,s:40~l:41~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161,True,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,2,160,s:40~l:41~t:160,New Hampshire,Wildcats,UNH,New Hampshire Wildcats,New Hampshire,004990,c3c4c6,True,1936,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png,1,2007,,,,,
0,263140269,s:40~l:41~e:263140269~c:263140269,2006-11-11T01:30Z,12464,True,False,False,False,[],2006-11-11T01:30Z,0,N/A,2099,BMO Harris Bradley Center,Milwaukee,WI,18717.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,True,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,2273,s:40~l:41~t:2273,Hillsdale,Chargers,HIL,Hillsdale Chargers,Hillsdale,000000,,False,,,,2007,,,,,
0,263140041,s:40~l:41~e:263140041~c:263140041,2006-11-11T00:30Z,10167,True,False,False,False,[],2006-11-11T00:30Z,0,N/A,1956,Gampel Pavilion,Storrs,CT,10167.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,True,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,2514,s:40~l:41~t:2514,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,,True,1907,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,19,2007,,,,,
0,263140183,s:40~l:41~e:263140183~c:263140183,2006-11-11T01:00Z,18280,True,False,False,False,"[{'type': 'event', 'headline': 'BCA INVITATIONAL'}]",2006-11-11T01:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,2597,s:40~l:41~t:2597,St. Francis (BKN),Terriers,SFBK,St. Francis (BKN) Terriers,St. Fran. (BKN),113682,,True,4941,https://a.espncdn.com/i/teamlogos/ncaa/500/2597.png,19,2007,,,,,
0,263140251,s:40~l:41~e:263140251~c:263140251,2006-11-11T02:00Z,9918,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS COACHES VS CANCER CLAS'}]",2006-11-11T02:00Z,0,N/A,2195,Frank Erwin Center,Austin,TX,16540.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,True,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,2130,s:40~l:41~t:2130,Chicago State,Cougars,CHIC,Chicago State Cougars,Chicago State,006700,,True,1951,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,43,2007,,,,,
0,263140059,s:40~l:41~e:263140059~c:263140059,2006-11-11T01:00Z,9191,True,False,False,False,[],2006-11-11T01:00Z,0,N/A,2206,McCamish Pavilion,Atlanta,GA,8600.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,True,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,2210,s:40~l:41~t:2210,Elon,Phoenix,ELON,Elon Phoenix,Elon,020303,b59a57,True,5725,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,24,2007,,,,,
0,263142440,s:40~l:41~e:263142440~c:263142440,2006-11-11T03:05Z,7782,True,False,False,False,[],2006-11-11T03:05Z,0,N/A,461,Lawlor Events Center,Reno,NV,11536.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2440,s:40~l:41~t:2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,153E5F,8e9295,True,461,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,30,1,s:40~l:41~t:1,Alaska Anchorage,Seawolves,UAA,Alaska Anchorage Seawolves,AK Anchorage,000000,,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/1.png,,2007,,,,,
0,263142633,s:40~l:41~e:263142633~c:263142633,2006-11-11T00:30Z,17798,True,False,False,False,[],2006-11-11T00:30Z,0,N/A,2044,Thompson-Boling Arena,Knoxville,TN,21678.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,True,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,2393,s:40~l:41~t:2393,Middle Tennessee,Blue Raiders,MTU,Middle Tennessee Blue Raiders,Middle Tenn,0079C2,c3c5c8,True,1897,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,27,2007,,,,,
0,263140085,s:40~l:41~e:263140085~c:263140085,2006-11-10T17:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'SPORTSTIME OHIO BCA CLASSIC AT COLUMBUS OH'}]",2006-11-10T17:00Z,0,N/A,317,Value City Arena,Columbus,OH,19500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,85,s:40~l:41~t:85,IUPUI,Jaguars,IUPU,IUPUI Jaguars,IUPUI,A81F30,d59f0f,True,4947,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,45,2010,s:40~l:41~t:2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,True,2122,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,26,2007,,,,,
