coach,coach.link,coach.link.ref,team,year
Joe Scott,history.php?c=Joe+Scott,Joe+Scott,Air Force,2002
Dan Hipsher,history.php?c=Dan+Hipsher,Dan+Hipsher,Akron,2002
Mark Gottfried,history.php?c=Mark+Gottfried,Mark+Gottfried,Alabama,2002
Vann Pettaway,history.php?c=Vann+Pettaway,Vann+Pettaway,Alabama A&M,2002
Rob Spivery,history.php?c=Rob+Spivery,Rob+Spivery,Alabama St.,2002
Will Brown,history.php?c=Will+Brown,Will+Brown,Albany,2002
Davey Whitney,history.php?c=Davey+Whitney,Davey+Whitney,Alcorn St.,2002
Jeff Jones,history.php?c=Jeff+Jones,Jeff+Jones,American,2002
Houston Fancher,history.php?c=Houston+Fancher,Houston+Fancher,Appalachian St.,2002
Lute Olson,history.php?c=Lute+Olson,Lute+Olson,Arizona,2002
Rob Evans,history.php?c=Rob+Evans,Rob+Evans,Arizona St.,2002
Nolan Richardson,history.php?c=Nolan+Richardson,Nolan+Richardson,Arkansas,2002
Porter Moser,history.php?c=Porter+Moser,Porter+Moser,Arkansas Little Rock,2002
Harold Blevins,history.php?c=Harold+Blevins,Harold+Blevins,Arkansas Pine Bluff,2002
Dickey Nutt,history.php?c=Dickey+Nutt,Dickey+Nutt,Arkansas St.,2002
Pat Harris,history.php?c=Pat+Harris,Pat+Harris,Army,2002
Cliff Ellis,history.php?c=Cliff+Ellis,Cliff+Ellis,Auburn,2002
Dave Loos,history.php?c=Dave+Loos,Dave+Loos,Austin Peay,2002
Tim Buckley,history.php?c=Tim+Buckley,Tim+Buckley,Ball St.,2002
Dave Bliss,history.php?c=Dave+Bliss,Dave+Bliss,Baylor,2002
Rick Byrd,history.php?c=Rick+Byrd,Rick+Byrd,Belmont,2002
Clifford Reed Jr,history.php?c=Clifford+Reed+Jr,Clifford+Reed+Jr,Bethune Cookman,2002
Al Walker,history.php?c=Al+Walker,Al+Walker,Binghamton,2002
Duane Reboul,history.php?c=Duane+Reboul,Duane+Reboul,Birmingham Southern,2002
Rod Jensen,history.php?c=Rod+Jensen,Rod+Jensen,Boise St.,2002
Al Skinner,history.php?c=Al+Skinner,Al+Skinner,Boston College,2002
Dennis Wolff,history.php?c=Dennis+Wolff,Dennis+Wolff,Boston University,2002
Dan Dakich,history.php?c=Dan+Dakich,Dan+Dakich,Bowling Green,2002
Jim Molinari,history.php?c=Jim+Molinari,Jim+Molinari,Bradley,2002
Glen Miller,history.php?c=Glen+Miller,Glen+Miller,Brown,2002
Pat Flannery,history.php?c=Pat+Flannery,Pat+Flannery,Bucknell,2002
Reggie Witherspoon,history.php?c=Reggie+Witherspoon,Reggie+Witherspoon,Buffalo,2002
Todd Lickliter,history.php?c=Todd+Lickliter,Todd+Lickliter,Butler,2002
Steve Cleveland,history.php?c=Steve+Cleveland,Steve+Cleveland,BYU,2002
Kevin Bromley,history.php?c=Kevin+Bromley,Kevin+Bromley,Cal Poly,2002
Donny Daniels,history.php?c=Donny+Daniels,Donny+Daniels,Cal St. Fullerton,2002
Bobby Braswell,history.php?c=Bobby+Braswell,Bobby+Braswell,Cal St. Northridge,2002
Ben Braun,history.php?c=Ben+Braun,Ben+Braun,California,2002
Billy Lee,history.php?c=Billy+Lee,Billy+Lee,Campbell,2002
Mike MacDonald,history.php?c=Mike+MacDonald,Mike+MacDonald,Canisius,2002
Kevin Johnson,history.php?c=Kevin+Johnson,Kevin+Johnson,Centenary,2002
Howie Dickenman,history.php?c=Howie+Dickenman,Howie+Dickenman,Central Connecticut,2002
Jay Smith,history.php?c=Jay+Smith,Jay+Smith,Central Michigan,2002
Jim Platt,history.php?c=Jim+Platt,Jim+Platt,Charleston Southern,2002
Bobby Lutz,history.php?c=Bobby+Lutz,Bobby+Lutz,Charlotte,2002
Henry Dickerson,history.php?c=Henry+Dickerson,Henry+Dickerson,Chattanooga,2002
Bo Ellis,history.php?c=Bo+Ellis,Bo+Ellis,Chicago St.,2002
Bob Huggins,history.php?c=Bob+Huggins,Bob+Huggins,Cincinnati,2002
Larry Shyatt,history.php?c=Larry+Shyatt,Larry+Shyatt,Clemson,2002
Rollie Massimino,history.php?c=Rollie+Massimino,Rollie+Massimino,Cleveland St.,2002
Pete Strickland,history.php?c=Pete+Strickland,Pete+Strickland,Coastal Carolina,2002
Emmett Davis,history.php?c=Emmett+Davis,Emmett+Davis,Colgate,2002
John Kresse,history.php?c=John+Kresse,John+Kresse,College of Charleston,2002
Ricardo Patton,history.php?c=Ricardo+Patton,Ricardo+Patton,Colorado,2002
Dale Layer,history.php?c=Dale+Layer,Dale+Layer,Colorado St.,2002
Armond Hill,history.php?c=Armond+Hill,Armond+Hill,Columbia,2002
Jim Calhoun,history.php?c=Jim+Calhoun,Jim+Calhoun,Connecticut,2002
Ron Mitchell,history.php?c=Ron+Mitchell,Ron+Mitchell,Coppin St.,2002
Steve Donahue,history.php?c=Steve+Donahue,Steve+Donahue,Cornell,2002
Dana Altman,history.php?c=Dana+Altman,Dana+Altman,Creighton,2002
Dave Faucher,history.php?c=Dave+Faucher,Dave+Faucher,Dartmouth,2002
Bob McKillop,history.php?c=Bob+McKillop,Bob+McKillop,Davidson,2002
Oliver Purnell,history.php?c=Oliver+Purnell,Oliver+Purnell,Dayton,2002
David Henderson,history.php?c=David+Henderson,David+Henderson,Delaware,2002
Greg Jackson,history.php?c=Greg+Jackson,Greg+Jackson,Delaware St.,2002
Terry Carroll,history.php?c=Terry+Carroll,Terry+Carroll,Denver,2002
Pat Kennedy,history.php?c=Pat+Kennedy,Pat+Kennedy,DePaul,2002
Perry Watson,history.php?c=Perry+Watson,Perry+Watson,Detroit,2002
Kurt Kanaskie,history.php?c=Kurt+Kanaskie,Kurt+Kanaskie,Drake,2002
Bruiser Flint,history.php?c=Bruiser+Flint,Bruiser+Flint,Drexel,2002
Mike Krzyzewski,history.php?c=Mike+Krzyzewski,Mike+Krzyzewski,Duke,2002
Danny Nee,history.php?c=Danny+Nee,Danny+Nee,Duquesne,2002
Bill Herrion,history.php?c=Bill+Herrion,Bill+Herrion,East Carolina,2002
Ed DeChellis,history.php?c=Ed+DeChellis,Ed+DeChellis,East Tennessee St.,2002
Rick Samuels,history.php?c=Rick+Samuels,Rick+Samuels,Eastern Illinois,2002
Travis Ford,history.php?c=Travis+Ford,Travis+Ford,Eastern Kentucky,2002
Jim Boone,history.php?c=Jim+Boone,Jim+Boone,Eastern Michigan,2002
Ray Giacoletti,history.php?c=Ray+Giacoletti,Ray+Giacoletti,Eastern Washington,2002
Mark Simons,history.php?c=Mark+Simons,Mark+Simons,Elon,2002
Jim Crews,history.php?c=Jim+Crews,Jim+Crews,Evansville,2002
Tim O'Toole,history.php?c=Tim+O%27Toole,Tim+O%27Toole,Fairfield,2002
Tom Green,history.php?c=Tom+Green,Tom+Green,Fairleigh Dickinson,2002
Donnie Marsh,history.php?c=Donnie+Marsh,Donnie+Marsh,FIU,2002
Billy Donovan,history.php?c=Billy+Donovan,Billy+Donovan,Florida,2002
Mike Gillespie,history.php?c=Mike+Gillespie,Mike+Gillespie,Florida A&M,2002
Sidney Green,history.php?c=Sidney+Green,Sidney+Green,Florida Atlantic,2002
Steve Robinson,history.php?c=Steve+Robinson,Steve+Robinson,Florida St.,2002
